map,record,member,date,utbt_record,utbt_member,utbt_date
CTF-BT+(i4G)Sphinx-fix3,02:24.995,}ElitE{HellFire`,2021-10-04,02:37.074,PatriK.pX3,2026-09-06 02:09:14.492603
CTF-BT+(V)HazyMazeCave,03:07.428,p-a-w-e-l,2021-09-16,03:09.478,[AoB] Riddick,2026-08-24 20:52:45.184091
CTF-BT-(alc)Perfection-vF,01:40.434,}ElitE{Mike`,2017-02-06,01:41.542,Mike',2026-09-06 11:14:14.900039
CTF-BT-(DSI)BTTT_vF,30.985,Nightwolf`,2012-09-07,31.063,Mike',2026-09-07 22:01:58.843777
CTF-BT-(ow)Simpleng,21.837,Nightwolf`,2022-10-06,21.919,gxls,2026-09-05 10:58:14.945943
CTF-BT-(SA)Redemption][,02:12.742,fierd_1,2013-10-25,02:17.346,Arturek ;),2026-09-02 14:42:19.859033
CTF-BT-A1TwoD,44.667,}ElitE{Bon,2018-01-03,51.486,gxls,2026-09-07 01:37:02.993095
CTF-BT-Cyclone,02:23.936,}ElitE{Bon,2009-07-07,02:37.685,Patrick,2026-09-08 00:35:37.544308
CTF-BT-TheFifthLevel-][_flg,02:07.290,}ElitE{Mike`,2013-05-07,02:22.458,PatriK.pX3,2026-08-26 21:11:27.530088
