map,record,member,date
CTF-BT+(Dom)Skills,01:25.179,Dylanbro,2017-08-16
CTF-BT+(fly)TitaniumBase-v1,01:42.272,Nightwolf`,2012-08-21
CTF-BT+(I)CryptLoop,41.432,}ElitE{HellFire`,2020-10-12
CTF-BT+(i4g)CommunityMap2005-v2,04:38.580,OwYeaW,2016-09-13
CTF-BT+(i4G)Sphinx-fix3,02:24.995,}ElitE{HellFire`,2021-10-04
CTF-BT+(Kh)FluO-EZ-vF,02:18.187,~DarK~JoJo~,2025-06-02
CTF-BT+(Kh)FluO-vF,02:20.992,~DarK~JoJo~,2025-06-02
CTF-BT+(Kh)MiniPouce-v2,03:55.726,Nightwolf`,2022-03-06
CTF-BT+(Ki)MyWorld-v3,05:12.597,OwYeaW,2016-06-18
CTF-BT+(MMI)LiquidFactory-18YR,01:01.766,~DarK~JoJo~,2025-01-27
CTF-BT+(MW)-Sentry,01:51.400,p-a-w-e-l,2021-07-10
CTF-BT+(NB)HauntedHill,03:26.365,}ElitE{Bon,2022-11-04
CTF-BT+(NB)NoviceCrypt-v2,01:35.293,}ElitE{Bon,2016-11-06
CTF-BT+(NB)NoviceCrypt-vEZ,01:34.941,}ElitE{Bon,2016-11-06
CTF-BT+(NB)NoviceStyle,01:40.159,}ElitE{Mike`,2022-08-11
CTF-BT+(NEO)FireTemple,01:12.745,~DarK~JoJo~,2026-01-23
CTF-BT+(NEO)ForestTemple-v2,02:47.359,Nightwolf`,2013-04-05
CTF-BT+(ow)Bounceng-v3,27.207,*WeeDy*,2022-12-09
CTF-BT+(ow)Crypteng-vF3,10:14.601,p-a-w-e-l,2021-08-11
CTF-BT+(ow)Dodgeng-vF5,36.163,~DarK~JoJo~,2025-12-16
CTF-BT+(ow)DuNNo!-v2,03:06.411,fierd_1,2014-01-08
CTF-BT+(ow)Glitcheng][,53.208,Dylanbro,2023-03-17
CTF-BT+(ow)Guess-vF,01:11.169,~DarK~JoJo~,2023-12-27
CTF-BT+(rL)ChristmasNight,46.256,}ElitE{Bon,2020-11-03
CTF-BT+(Roel)BehindTheWaterfall-vF,02:06.707,Nightwolf`,2014-01-17
CTF-BT+(Roel)LiquidFactory-CRB2,47.805,}ElitE{Mike`,2014-04-03
CTF-BT+(Roel)OrbField-SE,03:34.603,OwYeaW,2016-03-13
CTF-BT+(Roel)Skaarjified,02:07.616,Nightwolf`,2014-03-10
CTF-BT+(SAFe)Circular(v2),01:18.882,}ElitE{Mike`,2010-09-12
CTF-BT+(SAFe)ForgottenRuinz-v2,02:40.485,fierd_1,2013-05-19
CTF-BT+(ST)Dodge-vF2,58.526,~DarK~JoJo~,2025-04-10
CTF-BT+(Sv-Nw)Leanne-vF,01:25.786,Dylanbro,2022-01-09
CTF-BT+(T!nko)HistoryInTheMaking-v3,02:44.283,}ElitE{Bon,2020-10-10
CTF-BT+(TyN)Maaike,02:09.567,}ElitE{Mike`,2017-06-17
CTF-BT+(UTW)A-K-vF,04:33.237,~DarK~JoJo~,2026-03-05
CTF-BT+(UTW)MerryChristmas2018,05:02.061,artur509,2023-03-25
CTF-BT+(UTW)MerryChristmas2018-EZ,04:53.515,artur509,2023-03-25
CTF-BT+(UTW)NaliValley-v2,04:55.278,Nightwolf`,2022-04-11
CTF-BT+(V)HazyMazeCave,03:07.428,p-a-w-e-l,2021-09-16
CTF-BT+(XX)-lol1-fix,09.090,Nightwolf`,2022-09-30
CTF-BT+(XX)-lol2-fix,06.814,Nightwolf`,2016-11-08
CTF-BT+(XX)-lol3-fix,08.556,Nightwolf`,2017-01-07
CTF-BT+(XX)-lolTogether(censored),24.738,Nightwolf`,2022-10-01
CTF-BT+(XX)Jump-v3,03:46.115,Nightwolf`,2013-04-03
CTF-BT+(XX)Nali'sKarnak,03:20.574,Nightwolf`,2022-04-19
CTF-BT+(XX)WeatherWorld(EV)-fix3,02:01.287,BlueBalls,2022-08-20
CTF-BT+8Bits]I[-V3,07:04.737,~DarK~JoJo~,2024-03-28
CTF-BT+[LUN]HANGTIME!!!-V2,02:59.117,Nightwolf`,2022-04-09
CTF-BT+[U-U]-LegoFactory_fix2,01:39.625,fierd_3,2013-06-01
CTF-BT+[U-U]-MoonBase,01:18.925,}ElitE{Mike`,2022-09-05
CTF-BT+[U-U]Joyride-dbl,02:25.110,p-a-w-e-l,2021-06-30
CTF-BT+[ZL]Keys-v4,56.161,Nightwolf`,2012-08-14
CTF-BT+AnotherWarehouse-vF,02:11.085,Nightwolf`,2022-04-02
CTF-BT+AttackOnTitanV4,02:18.111,Nightwolf`,2021-10-21
CTF-BT+Ballistic,01:59.870,p-a-w-e-l,2022-10-18
CTF-BT+BetaMax-v2,01:50.809,~DarK~JoJo~,2024-03-10
CTF-BT+Bunny(Bar)ricade,01:05.134,Dylanbro,2022-04-30
CTF-BT+BunnyCodeX,57.595,Dylanbro,2012-08-28
CTF-BT+BunnyDeck16,01:10.810,Nightwolf`,2014-10-21
CTF-BT+BunnyLiandri-v2,54.900,Nightwolf`,2013-04-06
CTF-BT+BunnyPeak,01:08.064,Nightwolf`,2019-03-01
CTF-BT+BunnyStalwart,40.853,Nightwolf`,2022-10-20
CTF-BT+Cathedral-v3b,02:26.800,fierd_1,2014-11-10
CTF-BT+Cba-vF2,38.554,Dylanbro,2014-01-08
CTF-BT+Cobra,01:43.397,Nightwolf`,2013-05-19
CTF-BT+CobrasPlayHouse,01:32.898,Nightwolf`,2012-12-15
CTF-BT+Countries,03:04.416,Nightwolf`,2022-04-03
CTF-BT+D!@blo,02:10.720,fierd_retired,2012-03-13
CTF-BT+D!@blo-HV-v2,02:40.226,OwYeaW,2016-08-29
CTF-BT+easy-peasy-v3b,01:28.259,~DarK~JoJo~,2025-04-09
CTF-BT+Enjoy-fix3,35.911,Nightwolf`,2022-11-10
CTF-BT+EotY2015-EZ,06:06.125,OwYeaW,2016-05-17
CTF-BT+EotY2015-v2,07:21.842,p-a-w-e-l,2021-08-21
CTF-BT+FastAsYouCan,24.905,Nightwolf`,2022-11-09
CTF-BT+Gauntlet-v1b,01:17.389,}ElitE{Bon,2021-07-21
CTF-BT+Herinnering,52.880,Dylanbro,2022-11-11
CTF-BT+JungleJumping,01:36.270,fierd_3,2011-12-18
CTF-BT+Museum(ForStruppi)-v5,13:31.084,Franky`,2014-02-14
CTF-BT+Nert(MD),49.786,Dylanbro,2021-10-14
CTF-BT+NightQuest!!,51.579,}ElitE{Bon,2022-01-19
CTF-BT+Nitrodromo,58.389,~DarK~JoJo~,2025-01-26
CTF-BT+NutsForJonesy!-fix,29.651,Dylanbro,2017-08-20
CTF-BT+Oblivion-vF2,23.538,Nightwolf`,2017-02-12
CTF-BT+Ocean-Kocian-v2,04:34.506,Nightwolf`,2017-12-14
CTF-BT+OmErStyLe][vF2,35.282,}ElitE{Mike`,2022-10-16
CTF-BT+PressureFIX-vF,37.072,Dylanbro,2016-12-05
CTF-BT+Pupae-v2,58.443,Nightwolf`,2012-09-03
CTF-BT+Radioactive,08.405,Nightwolf`,2021-11-05
CTF-BT+ReverseGear,01:23.729,Nightwolf`,2012-08-05
CTF-BT+RoomsLevel-dbl,01:43.279,Dylanbro,2017-08-04
CTF-BT+Roughinery-vF3,01:07.872,*WeeDy*,2019-12-20
CTF-BT+RuinedCity,44.056,BlueBalls,2023-01-13
CTF-BT+RuinedCity][v2,02:09.380,~DarK~JoJo~,2025-05-09
CTF-BT+SacredLand,03:12.302,~DarK~JoJo~,2025-10-25
CTF-BT+Savior,01:43.784,Nightwolf`,2012-09-28
CTF-BT+Sinterklaas,01:07.393,Dylanbro,2014-11-01
CTF-BT+Spacepl0x-dbl,07:34.094,p-a-w-e-l,2020-07-14
CTF-BT+StalTempleV1,43.799,~DarK~JoJo~,2024-02-14
CTF-BT+Stardust,37.644,}ElitE{Mike`,2022-08-24
CTF-BT+Stoned,01:42.033,Nightwolf`,2012-10-05
CTF-BT+T!nkoBase-vF,31.845,Nightwolf`,2017-01-03
CTF-BT+TempleIndustry-v2,03:02.143,artur509,2024-01-23
CTF-BT+The_Badlands_Express,38.202,fierd_6,2018-06-08
CTF-BT+TombTime,02:16.783,Nightwolf`,2022-04-07
CTF-BT+TotalCobra,02:09.018,Nightwolf`,2022-04-22
CTF-BT+ToxicWaste,32.066,Nightwolf`,2022-10-03
CTF-BT+Waiting_Place-fix2,14:07.615,OwYeaW,2016-04-30
CTF-BT+Warp_Room,03:01.953,~DarK~JoJo~,2024-02-19
CTF-BT+Warp_Room][-v2,03:27.778,~DarK~JoJo~,2025-06-19
CTF-BT+Warp_RoomIII,03:51.200,~DarK~JoJo~,2024-02-20
CTF-BT+Xenon_i4g,53.044,p-a-w-e-l,2020-08-14
CTF-BT+ZeldaQuest-dbl3,03:05.510,Franky`,2020-05-08
CTF-BT-!nekoDungeon,01:39.616,~DarK~JoJo~,2025-04-18
CTF-BT-!nekoDungeon-EZ,01:37.828,~DarK~JoJo~,2025-04-17
CTF-BT-!nekoTinkoEasy_fix,01:51.954,~DarK~JoJo~,2024-03-27
CTF-BT-(77)Encrypted-vF,01:06.895,Nightwolf`,2013-04-15
CTF-BT-(77)Irri-tated-v2,26.428,Dylanbro,2021-05-01
CTF-BT-(77)JunctionVF1,01:10.057,Marmolak,2017-05-29
CTF-BT-(77)Mousakka,44.228,}ElitE{Bon,2012-08-20
CTF-BT-(77)Nane,33.089,Dylanbro,2014-12-07
CTF-BT-(77)RushMania[i4G],21.530,Dylanbro,2017-12-02
CTF-BT-([KH])AcidRiver-dbl,30.299,Nightwolf`,2022-10-04
CTF-BT-([KH])CityBits-Fix,56.912,Dylanbro,2017-08-15
CTF-BT-([KH])HotRush,49.651,Dylanbro,2016-01-23
CTF-BT-(A)Cryptical,30.464,Dylanbro,2021-11-28
CTF-BT-(AD)ArcaneTemple-dbl1,15.752,Nightwolf`,2017-07-02
CTF-BT-(alc)Haven,52.996,fierd_1,2013-11-03
CTF-BT-(alc)MetroMash,02:30.901,~DarK~JoJo~,2026-03-23
CTF-BT-(alc)MetroMash-EZ,02:39.795,~DarK~JoJo~,2026-03-23
CTF-BT-(alc)Perfection-vF,01:40.434,}ElitE{Mike`,2017-02-06
CTF-BT-(alc)Pergamon-v2,01:50.345,~DarK~JoJo~,2026-01-27
CTF-BT-(alc)PharaohsKingdom-v3,01:48.231,OwYeaW,2017-04-01
CTF-BT-(An)Not-What-It-Seems_v2,01:11.896,Dylanbro,2017-07-05
CTF-BT-(asd)CityIntro-dbl,02:57.370,BlueBalls,2021-11-07
CTF-BT-(Ask)Halls_Of_Slime-v2,59.146,Dylanbro,2014-11-02
CTF-BT-(Avres)SoundGoodbye-i4g,30.083,~DarK~JoJo~,2025-06-23
CTF-BT-(AW)Reeders,01:08.160,}ElitE{Bon,2009-05-15
CTF-BT-(AW)Tower-of-Evil,02:51.704,OwYeaW,2016-04-30
CTF-BT-(AX)Religious-Rush,47.600,Nightwolf`,2012-09-05
CTF-BT-(B)AboveAndBeyond,01:53.207,}ElitE{Bon,2021-09-19
CTF-BT-(B)BlitzAce][,01:04.960,fierd_1,2014-12-14
CTF-BT-(B)BlitzCastle,01:44.661,fierd_3,2011-11-17
CTF-BT-(B)Distanc3_nb2,01:25.922,~DarK~JoJo~,2025-04-18
CTF-BT-(B)Mesablanca,01:20.815,Dylanbro,2012-09-11
CTF-BT-(B128)Phantom-v2b,29.391,}ElitE{Bon,2022-08-13
CTF-BT-(Ba)Ancient-Tomb,02:27.274,~DarK~JoJo~,2026-01-24
CTF-BT-(Ba)EasyEscape,23.403,Nightwolf`,2017-01-13
CTF-BT-(Ba)SpeedCat,53.095,|bc|chekz_=],2021-01-16
CTF-BT-(bar)(-I-)[v2009],59.930,}ElitE{HellFire`,2021-09-25
CTF-BT-(bar)Black&White_dbl,02:11.877,~DarK~JoJo~,2026-01-23
CTF-BT-(bar)Compilation-Fix,07:10.006,Franky`,2016-11-21
CTF-BT-(bar)CoreT_i4g,35.043,p-a-w-e-l,2021-08-26
CTF-BT-(bar)D4nkEZ,01:10.183,Nightwolf`,2017-11-27
CTF-BT-(bar)Dark-jojo-v2,45.526,~DarK~JoJo~,2025-03-28
CTF-BT-(bar)DiabloTemple[v2oo9],01:02.903,~DarK~JoJo~,2026-01-25
CTF-BT-(bar)DinG-v3,03:39.149,BlueBalls,2021-12-24
CTF-BT-(bar)Dojo!-FiX-2013,31.746,Nightwolf`,2019-05-20
CTF-BT-(bar)Elorac-v3,01:10.725,BlueBalls,2021-12-31
CTF-BT-(bar)EuroDanceParty-v2,02:08.994,~DarK~JoJo~,2026-02-11
CTF-BT-(bar)FirsTracK-v3,02:15.557,~DarK~JoJo~,2025-06-07
CTF-BT-(bar)For-normalname-vF,01:31.519,~DarK~JoJo~,2026-04-30
CTF-BT-(bar)ForD4nk-v2,01:36.783,Nightwolf`,2013-04-02
CTF-BT-(bar)ForFun!,51.850,~DarK~JoJo~,2025-05-16
CTF-BT-(bar)ForFun![Eazy],46.626,~DarK~JoJo~,2025-05-16
CTF-BT-(bar)ForMoli-v3,03:25.617,OwYeaW,2021-10-24
CTF-BT-(bar)ForPawelAndZanmato,01:46.224,Nightwolf`,2014-10-01
CTF-BT-(bar)GravityRace(Fix),01:43.777,Dylanbro,2014-09-27
CTF-BT-(bar)Hahaha!,01:41.477,Nightwolf`,2014-01-16
CTF-BT-(bar)Hahaha!(HV),01:28.792,Nightwolf`,2014-01-16
CTF-BT-(bar)Jennigoo(Final),23.372,Nightwolf`,2021-03-22
CTF-BT-(bar)KickYourAss!-VF,02:30.030,Nightwolf`,2022-03-21
CTF-BT-(bar)LessonJump-VF,39.056,}ElitE{Bon,2020-09-29
CTF-BT-(bar)Level1[2009],55.318,Nightwolf`,2012-09-14
CTF-BT-(bar)Level2-[2010],56.850,Nightwolf`,2014-12-05
CTF-BT-(bar)Level_3,25.609,Nightwolf`,2013-10-07
CTF-BT-(bar)Level_3-NF,01:02.818,}ElitE{Bon,2009-01-21
CTF-BT-(bar)Level_4-v2,56.601,p-a-w-e-l,2020-11-18
CTF-BT-(bar)Level_5,43.959,Nightwolf`,2013-04-10
CTF-BT-(bar)MacReady-v3,24.987,fierd_1,2013-09-27
CTF-BT-(bar)MegaMan2-AirManStage-V2013,01:02.695,Dylanbro,2013-03-30
CTF-BT-(bar)Morbias(Final),32.393,Nightwolf`,2012-09-29
CTF-BT-(bar)Morpheus,47.492,Nightwolf`,2013-06-05
CTF-BT-(bar)Mortalkombat,01:52.702,~DarK~JoJo~,2026-01-23
CTF-BT-(bar)PharaonClown-v2,01:04.187,}ElitE{Bon,2020-10-11
CTF-BT-(bar)Race,24.772,*WeeDy*,2018-01-09
CTF-BT-(bar)romano,13.622,Nightwolf`,2021-05-01
CTF-BT-(bar)Source]Of[BarCode-Final,51.682,}ElitE{Mike`,2014-03-19
CTF-BT-(bar)Star]4[Noob,01:04.081,~DarK~JoJo~,2025-12-17
CTF-BT-(bar)Tabarnak!,02:33.495,Nightwolf`,2013-05-08
CTF-BT-(bar)TargetTemple(SE),41.157,p-a-w-e-l,2021-09-07
CTF-BT-(bar)Terminator,01:56.504,~DarK~JoJo~,2025-05-05
CTF-BT-(bar)TonyHawkSkatePark,36.329,Nightwolf`,2012-08-25
CTF-BT-(bar)TotalBarcode[Fix]-dbl,03:51.564,OwYeaW,2016-06-07
CTF-BT-(bar)VeryEasy,17.203,Nightwolf`,2022-10-17
CTF-BT-(bar)Wizard-Fix,20.873,Dylanbro,2022-03-11
CTF-BT-(bar)You-Can-Do-iT!-v2,02:44.850,~DarK~JoJo~,2026-03-25
CTF-BT-(bar)Yuciso(v1),32.080,Dylanbro,2021-09-02
CTF-BT-(BDK)Epical,39.674,}ElitE{HellFire`,2022-10-16
CTF-BT-(BH-Roel)BlackPyramids-v2b,03:06.177,Dylanbro,2012-07-15
CTF-BT-(BI)AncLand,02:08.642,Nightwolf`,2014-02-04
CTF-BT-(BI)anOtherWayOut,01:35.032,Nightwolf`,2013-10-15
CTF-BT-(BI)FireBird,53.242,}ElitE{Bon,2018-01-05
CTF-BT-(BI)Flammable-v1b,50.245,Dylanbro,2017-12-11
CTF-BT-(BJ)CastlesInTheSky,02:09.321,Nightwolf`,2022-04-12
CTF-BT-(BJ)Facility-v2,01:58.994,p-a-w-e-l,2021-08-25
CTF-BT-(BJ)JuryFactory-v4,01:44.104,Nightwolf`,2022-12-27
CTF-BT-(BJ)RushThruEgypt,20.647,Nightwolf`,2022-02-19
CTF-BT-(BJ)Storm-v4,01:01.793,Ensiferum,2021-11-13
CTF-BT-(BJ)ToxicFacility-v3,02:27.088,Nightwolf`,2022-12-27
CTF-BT-(BK)Darking_fix,43.694,}ElitE{HellFire`,2022-10-11
CTF-BT-(BK)EasyFalls_fix,14.561,Nightwolf`,2022-10-21
CTF-BT-(BK)FuSioNaL_fix,30.720,Nightwolf`,2019-03-01
CTF-BT-(BK)InnerCrypt_fix,55.381,}ElitE{Mike`,2022-09-10
CTF-BT-(BK)Sewearth-v3b,01:16.062,Dylanbro,2021-05-02
CTF-BT-(BND)WaP-Remix,01:31.197,Dylanbro,2022-10-09
CTF-BT-(Boo)DreamsMaker-v3,02:55.330,}ElitE{HellFire`,2017-11-02
CTF-BT-(buh)B100,01:32.090,Nightwolf`,2014-01-17
CTF-BT-(BX)RageawaX_fix,01:20.719,Nightwolf`,2012-10-13
CTF-BT-(C's)'A'CraZyEscape-v2,01:21.016,}ElitE{Bon,2011-07-12
CTF-BT-(C's)1room-v2,46.961,}ElitE{HellFire`,2013-04-25
CTF-BT-(C)BTTutorial,28.530,}ElitE{Bon,2022-08-20
CTF-BT-(C)FromHell_i4g,01:05.395,}ElitE{Mike`,2022-08-13
CTF-BT-(C)Imperial-dbl,34.698,Nightwolf`,2017-11-12
CTF-BT-(C)MetalDeath_fix,37.218,Nightwolf`,2017-06-19
CTF-BT-(C)MortalFear-fixed,01:16.834,Dylanbro,2021-10-31
CTF-BT-(C)orey_fix,51.559,}ElitE{Mike`,2017-12-28
CTF-BT-(C)RuinedFortress-fix,51.101,}ElitE{HellFire`,2020-09-15
CTF-BT-(C)TombOfAnubis,01:09.127,Nightwolf`,2022-04-18
CTF-BT-(Cal)Bounce!-i4g,02.732,MoMiLi,2020-01-07
CTF-BT-(Cal)OnTopOfTheWorld-Fix,39.788,}ElitE{HellFire`,2020-09-14
CTF-BT-(Cal-Maz)Ancient-Sanctuary,51.623,~DarK~JoJo~,2025-01-27
CTF-BT-(Cal-Maz)Fulinyx,27.739,}ElitE{HellFire`,2021-09-10
CTF-BT-(Cals)ExTRaTERresTriAl_fix3,01:11.941,~DarK~JoJo~,2026-05-21
CTF-BT-(CAM)-LavaArena-fix,10.115,Nightwolf`,2017-01-02
CTF-BT-(CAM)LavaSpeedy-fix,10.201,Nightwolf`,2022-10-16
CTF-BT-(CC)LittleRush-dbl,21.126,}ElitE{Mike`,2020-09-05
CTF-BT-(CC)WhyNat-dbl,38.349,Dylanbro,2022-03-10
CTF-BT-(cere)ButterBlocks[v3],35.993,}ElitE{HellFire`,2022-10-09
CTF-BT-(CN)Academy-vF,01:44.965,Nightwolf`,2019-06-12
CTF-BT-(CN)Academy][-vF,02:28.062,fierd_1,2013-11-02
CTF-BT-(CN)AloneInTheDark,50.576,}ElitE{Bon,2018-05-04
CTF-BT-(CN)Anaphilactic-v2,01:19.790,~DarK~JoJo~,2025-06-08
CTF-BT-(CN)Arrieris,11.270,Nightwolf`,2017-12-17
CTF-BT-(CN)BootItUp,01:07.685,}ElitE{Bon,2017-06-23
CTF-BT-(CN)Bricky,01:46.496,Nightwolf`,2022-05-04
CTF-BT-(CN)CommeTuVeux,27.876,~DarK~JoJo~,2026-03-24
CTF-BT-(CN)CompilaCouille,05:28.330,Dylanbro,2014-11-01
CTF-BT-(CN)Condominium-EZ2,04:43.341,fierd_retired,2013-04-18
CTF-BT-(CN)Condominium-vF2,05:33.232,}ElitE{Bon,2008-07-25
CTF-BT-(CN)Cube,01:57.623,}ElitE{Bon,2010-09-17
CTF-BT-(CN)Cube-EZ,02:10.705,}ElitE{Bon,2010-09-17
CTF-BT-(CN)DejaVu,05:37.817,Franky`,2017-05-10
CTF-BT-(CN)Delirium-EZ-vF,03:56.671,}ElitE{Bon,2009-03-07
CTF-BT-(CN)Delirium[v2009],04:26.370,}ElitE{Bon,2009-04-22
CTF-BT-(CN)DellaMorte,52.892,Dylanbro,2011-11-02
CTF-BT-(CN)Dodgy-v2,01:00.516,fierd_1,2014-02-25
CTF-BT-(CN)Emmerdophis-v2,31.608,Nightwolf`,2017-12-30
CTF-BT-(CN)FailRusherFail,57.736,Dylanbro,2022-11-11
CTF-BT-(CN)FatBunny-v2,01:00.478,fierd_6,2017-05-08
CTF-BT-(CN)FatherAndSon,02:41.379,fierd_1,2014-02-22
CTF-BT-(CN)FiveKingsValley-v2,01:57.032,}ElitE{Bon,2018-01-06
CTF-BT-(CN)Frogger-vF,01:49.309,~DarK~JoJo~,2025-04-14
CTF-BT-(CN)HallsOfPain,01:25.039,Dylanbro,2014-02-01
CTF-BT-(CN)HammerToFall-v2,01:11.992,~DarK~JoJo~,2025-06-19
CTF-BT-(CN)Happy2007,01:14.811,Dylanbro,2014-11-27
CTF-BT-(CN)Happy2009,01:36.379,Dylanbro,2014-01-28
CTF-BT-(CN)Happy2010,05:39.027,fierd_1,2013-09-22
CTF-BT-(CN)Happy2011,01:41.831,Nightwolf`,2022-05-04
CTF-BT-(CN)HopHop,47.894,}ElitE{Mike`,2021-06-09
CTF-BT-(CN)HopHop2-v2,01:03.556,Nightwolf`,2021-03-19
CTF-BT-(CN)I4GamesTenYears-v2,43.290,Nightwolf`,2021-08-24
CTF-BT-(CN)Inca,01:56.270,Nightwolf`,2014-03-08
CTF-BT-(CN)JvnkieStyle,54.433,Dylanbro,2017-11-12
CTF-BT-(CN)KeskisPath,02:10.946,p-a-w-e-l,2021-09-14
CTF-BT-(CN)KiaDuKakaKakiKoleOKuku,01:05.021,~DarK~JoJo~,2025-01-23
CTF-BT-(CN)LookingForClues-vF2,04:00.824,}ElitE{Bon,2021-09-22
CTF-BT-(CN)MegaLaby-v2,01:31.384,Nightwolf`,2012-10-12
CTF-BT-(CN)MegaloMap-EZ,03:23.997,}ElitE{Bon,2017-06-11
CTF-BT-(CN)MegaloMap-v2,03:38.602,}ElitE{Bon,2017-06-11
CTF-BT-(CN)Merdos-i4g,03.528,fierd_6,2016-04-20
CTF-BT-(CN)Mooba-v2,55.573,}ElitE{Bon,2022-09-26
CTF-BT-(CN)MountainBase][-vF2,03:37.041,Nightwolf`,2022-05-05
CTF-BT-(CN)MysteryMap-v2,10.061,Nightwolf`,2017-12-31
CTF-BT-(CN)NeverStopMoving,41.324,}ElitE{Mike`,2021-06-26
CTF-BT-(CN)NewTumb,40.593,~DarK~JoJo~,2025-06-07
CTF-BT-(CN)NomDeZeus,02:06.589,~DarK~JoJo~,2025-04-18
CTF-BT-(CN)Noobs-vs-Rushers-v2,22.037,Nightwolf`,2016-11-07
CTF-BT-(CN)Pasticcio-v2,02:32.770,}ElitE{Bon,2009-07-17
CTF-BT-(CN)PitchBlack-v2,30.804,}ElitE{Bon,2013-06-18
CTF-BT-(CN)Portnawak-EZ-vF,02:20.549,}ElitE{Bon,2017-12-30
CTF-BT-(CN)Portnawak-vF,02:20.018,}ElitE{Bon,2017-12-30
CTF-BT-(CN)Psychotic,02:05.677,Dylanbro,2012-04-23
CTF-BT-(CN)RatRace-v2,02:47.643,}ElitE{Bon,2010-03-09
CTF-BT-(CN)ReCap,04:11.048,Franky`,2017-05-11
CTF-BT-(CN)Saga,03:23.742,Nightwolf`,2022-04-14
CTF-BT-(CN)Spooky,19.299,Nightwolf`,2017-02-11
CTF-BT-(CN)Stargate-SG1-v2,05:53.586,artur509,2023-04-07
CTF-BT-(CN)StrikeDay,01:04.526,Nightwolf`,2014-09-27
CTF-BT-(CN)SweetEscape-v2,01:49.645,fierd_6,2017-08-08
CTF-BT-(CN)Tarlouz-v2,14.882,}ElitE{Bon,2020-11-11
CTF-BT-(CN)TheBigFall_vF2,01:43.582,}ElitE{Bon,2016-10-10
CTF-BT-(CN)TheHidden,02:57.705,}ElitE{Bon,2017-12-20
CTF-BT-(CN)UltimateDuel-v2,03:52.687,~DarK~JoJo~,2025-06-14
CTF-BT-(CN)UltraNoob,40.643,}ElitE{Bon,2020-10-02
CTF-BT-(CN)Uncapturable][,21.623,h,2019-09-22
CTF-BT-(CN)Vagalam-v2,01:37.767,}ElitE{Bon,2010-11-23
CTF-BT-(CN)Vandal-vF,01:23.098,Nightwolf`,2022-10-18
CTF-BT-(CN)WormholeXtreme-v2,03:08.511,}ElitE{Bon,2012-11-06
CTF-BT-(CN)Xanadu-EZ,02:21.271,Nightwolf`,2022-05-04
CTF-BT-(CN)Xanadu-vF,02:28.971,Nightwolf`,2022-05-04
CTF-BT-(Cobra)XAE021-v3,57.087,}ElitE{Bon,2011-02-04
CTF-BT-(CYA)PlayBoyMansion_i4g-vF,01:34.182,Nightwolf`,2013-06-05
CTF-BT-(CYA)UnderWorld,01:19.770,Nightwolf`,2013-05-15
CTF-BT-(Cyb)Bumbaclart,35.829,}ElitE{Mike`,2020-10-21
CTF-BT-(Cyb)CyberInc,01:08.856,Dylanbro,2017-08-02
CTF-BT-(Cyb)EvilPower,01:32.801,Dylanbro,2021-08-28
CTF-BT-(Cyp)CypressHill,01:40.386,Dylanbro,2023-01-11
CTF-BT-(Cyp)Dimension-v2,02:20.671,Nightwolf`,2013-10-16
CTF-BT-(Cyp)TheBoat-LV2,01:45.376,}ElitE{Bon,2013-06-03
CTF-BT-(D&T)CuZ_ChAoS,01:53.131,Nightwolf`,2022-10-15
CTF-BT-(D)Citypwns_dbl2,01:54.254,Nightwolf`,2021-10-25
CTF-BT-(D4nK)FirstMap,01:03.707,~DarK~JoJo~,2025-06-10
CTF-BT-(D4nK)ForBarcode_v2,02:43.216,OwYeaW,2017-03-13
CTF-BT-(D4nK)LVL1-V3,01:30.659,~DarK~JoJo~,2025-06-10
CTF-BT-(D4nK)LVL2,02:30.541,Nightwolf`,2013-04-21
CTF-BT-(D4rkiE)LavaPunch,57.844,Dylanbro,2014-01-29
CTF-BT-(DaNo)Slimmer-v2,57.966,Nightwolf`,2017-07-06
CTF-BT-(DarK)-FlAmE-,01:12.259,~DarK~JoJo~,2026-01-13
CTF-BT-(DD)Roflmaze-v2,17.403,Nightwolf`,2013-05-14
CTF-BT-(dem)1-blocksV3b,01:01.484,fierd_3,2012-11-23
CTF-BT-(dem)3-smileys!!,01:33.673,Nightwolf`,2016-01-07
CTF-BT-(dem)Double-Base,02:23.149,fierd_3,2012-11-07
CTF-BT-(dem)EasilyDone,01:15.383,~DarK~JoJo~,2025-01-27
CTF-BT-(dem)Rock_N_Roll,01:27.424,}ElitE{HellFire`,2022-10-11
CTF-BT-(dem)smileys-SE2,03:07.836,Dylanbro,2013-04-11
CTF-BT-(Dere)Caged_fix,31.187,Nightwolf`,2012-09-10
CTF-BT-(Dere)Randomania_dbl,48.407,Dylanbro,2021-08-14
CTF-BT-(Dere)Silverspring-EZ,52.536,Dylanbro,2012-06-05
CTF-BT-(Dere)Silverspring-Hard_v2,02:45.314,p-a-w-e-l,2021-09-09
CTF-BT-(Dere)Spacering,20.559,Nightwolf`,2013-06-06
CTF-BT-(Dere)TheSanctuaryV2,02:07.382,Nightwolf`,2022-04-18
CTF-BT-(die)8bits][,03:37.305,BlueBalls,2021-12-30
CTF-BT-(DiE)Blakenzy_v2,03:16.627,OwYeaW,2016-06-23
CTF-BT-(DiE)MagmaArea,01:54.770,Nightwolf`,2017-06-13
CTF-BT-(DJ)AdVitamAeternam_v2,58.185,~DarK~JoJo~,2024-03-22
