map,record,member,date
CTF-BT-SubtleFalloutCB,02:09.142,Dylanbro,2013-04-03
CTF-BT-Subway,03:17.721,fierd_retired,2013-03-06
CTF-BT-SuckFest-Easy&Crappy,37.017,}ElitE{HellFire`,2021-08-24
CTF-BT-SuckMe-v2,26.814,Nightwolf`,2017-06-13
CTF-BT-SuckmeToo-v3,20.548,}ElitE{HellFire`,2022-09-30
CTF-BT-SuddenDeath-v2,02:58.910,Nightwolf`,2022-03-23
CTF-BT-SuddenDeathEZ,02:55.054,Nightwolf`,2022-03-22
CTF-BT-Sunset-v3,02:49.499,Nightwolf`,2014-09-27
CTF-BT-Super-Mario,01:59.118,Dylanbro,2013-11-05
CTF-BT-Superheroes1o0,02:04.430,~DarK~JoJo~,2025-11-29
CTF-BT-SuperMario-OrigV3,02:36.033,Franky`,2017-05-30
CTF-BT-Surplus-LV,59.643,~DarK~JoJo~,2025-12-07
CTF-BT-SweetInsanity,49.444,Nightwolf`,2022-03-09
CTF-BT-Symmetric,45.832,Nightwolf`,2014-10-05
CTF-BT-Synnie_V2,47.883,fierd_1,2015-01-11
CTF-BT-Synthesis-v2,04:34.004,Nightwolf`,2019-03-14
CTF-BT-SyntheticV2,51.328,Dylanbro,2021-07-08
CTF-BT-SyphilisCB,01:14.060,Nightwolf`,2017-02-18
CTF-BT-Tabac_i4g,01:16.315,BlueBalls,2021-11-06
CTF-BT-TableRace-v2,01:08.178,}ElitE{Bon,2016-10-09
CTF-BT-TabulaRasa,34.785,TDN-Berserker,2023-04-29
CTF-BT-Tainted-v1,01:36.964,Nightwolf`,2022-04-21
CTF-BT-Tartarus-v2,02:48.963,Nightwolf`,2017-12-01
CTF-BT-TartarusEZ-v2,03:00.310,p-a-w-e-l,2021-07-28
CTF-BT-TBIG-vF,31.538,~DarK~JoJo~,2024-03-10
CTF-BT-TechDiff-v5,01:39.659,TDN-Berserker,2017-08-10
CTF-BT-TechMorden,21.886,BlueBalls,2022-05-20
CTF-BT-TechnicalChallenges-v3,08:11.466,Dylanbro,2014-11-06
CTF-BT-TEFY-fix,56.778,Dylanbro,2021-04-29
CTF-BT-TehEvulMansion,01:14.251,}ElitE{Mike`,2012-01-09
CTF-BT-tehfuk,36.780,}ElitE{HellFire`,2020-08-20
CTF-BT-Tehwut-dbl,01:13.878,Dylanbro,2017-06-28
CTF-BT-Teleports_dbl,55.749,Dylanbro,2017-12-04
CTF-BT-TelevisionRulezNation-v2,42.781,TDN-Berserker,2020-05-16
CTF-BT-temp7-v2,24.623,Nightwolf`,2019-03-01
CTF-BT-Temple_dbl,02:10.842,Nightwolf`,2013-06-01
CTF-BT-Temple_Of_DSI_vf,50.502,Nightwolf`,2021-08-26
CTF-BT-Temple_of_Egyptian,47.213,OwYeaW,2017-01-18
CTF-BT-Temple_of_Napali_Lands,03:52.370,BlueBalls,2022-02-05
CTF-BT-TempleEscapeVF,02:00.151,Nightwolf`,2022-03-07
CTF-BT-Tension,51.024,|bc|chekz_=],2021-11-06
CTF-BT-Texture-FE101,29.823,BlueBalls,2023-01-31
CTF-BT-TFBT-01,01:17.035,Nightwolf`,2016-01-31
CTF-BT-The-Lonely-Tower-V2,01:26.652,Nightwolf`,2022-03-09
CTF-BT-TheBeginning,38.587,Nightwolf`,2014-10-04
CTF-BT-TheCake,01:10.767,artur509,2023-05-16
CTF-BT-TheCave,01:53.465,Nightwolf`,2013-12-19
CTF-BT-TheConquest_dbl,02:23.609,Nightwolf`,2022-03-20
CTF-BT-TheEmptyChapelV4,01:03.261,}ElitE{Bon,2022-10-23
CTF-BT-TheEscapeLV,01:32.908,Dylanbro,2012-09-06
CTF-BT-TheFifthLevel-][_flg,02:07.290,}ElitE{Mike`,2013-05-07
CTF-BT-TheFragunitBT1,48.145,}ElitE{Mike`,2022-02-27
CTF-BT-TheFragunitBT2,36.760,}ElitE{Bon,2022-09-24
CTF-BT-TheFragunitBT3,30.790,Nightwolf`,2022-12-28
CTF-BT-TheHall,16.265,}ElitE{Bon,2022-01-21
CTF-BT-TheLookout-v2,01:22.648,Dylanbro,2021-10-16
CTF-BT-TheLostDestinationdbl,01:05.419,Dylanbro,2012-05-19
CTF-BT-TheLostJournalCB,02:08.785,Dylanbro,2021-08-26
CTF-BT-TheLostOnes,01:04.945,Nightwolf`,2014-10-04
CTF-BT-TheShame-fix,01:21.496,}ElitE{HellFire`,2020-09-11
CTF-BT-TheTempleV1,01:54.763,Nightwolf`,2022-04-20
CTF-BT-TheWind,01:16.068,}ElitE{Bon,2021-08-28
CTF-BT-TheWind-Redux,01:32.642,BlueBalls,2021-12-16
CTF-BT-Threshold,01:21.450,~DarK~JoJo~,2025-01-21
CTF-BT-TK-v1b,42.890,}ElitE{Bon,2018-01-06
CTF-BT-ToEasy_i4g,55.092,}ElitE{HellFire`,2018-03-10
CTF-BT-TombRaider-v1b,01:46.151,fierd_3,2013-04-20
CTF-BT-TOOEASY]I[,43.929,Dylanbro,2012-11-23
CTF-BT-TopSecret,01:04.323,}ElitE{HellFire`,2022-09-30
CTF-BT-Torture][,03:04.933,Dylanbro,2021-09-04
CTF-BT-TortureChamber_i4g,02:58.133,Nightwolf`,2014-01-23
CTF-BT-TotalBlitz,01:17.269,fierd_1,2013-10-26
CTF-BT-Touch,54.471,OwYeaW,2016-02-07
CTF-BT-Tourbillon-1,01:04.727,}ElitE{Bon,2012-06-21
CTF-BT-Toxic-Tube-v2,01:13.302,}ElitE{Mike`,2017-12-27
CTF-BT-Toxic-Warehouse,37.380,Nightwolf`,2022-12-31
CTF-BT-ToxicGarbageEZ,01:31.523,Nightwolf`,2022-04-18
CTF-BT-ToxicGarbageV3,01:57.639,~DarK~JoJo~,2025-05-09
CTF-BT-ToxicityV3,01:48.314,~DarK~JoJo~,2025-05-05
CTF-BT-Toxination-dbl,40.518,BlueBalls,2021-12-29
CTF-BT-Training_dbl,01:05.563,Dylanbro,2012-06-13
CTF-BT-TrainingDay,24.577,Nightwolf`,2022-10-03
CTF-BT-TranQuillity-Station_v2,02:31.293,OwYeaW,2016-06-10
CTF-BT-Translocate-vf,33.327,Vimper0,2019-06-23
CTF-BT-Translocate2-vf,31.636,Vimper0,2019-06-23
CTF-BT-Transmutation-fix,01:23.680,Nightwolf`,2022-03-09
CTF-BT-TrapTemple_fixed,01:35.213,p-a-w-e-l,2021-08-22
CTF-BT-Trash-v2,01:10.649,OwYeaW,2016-09-30
CTF-BT-Treasures,30.959,BlueBalls,2022-09-15
CTF-BT-TricKoMatic,05:58.141,Marmolak,2022-04-13
CTF-BT-Tricky!,09.053,Dylanbro,2022-03-04
CTF-BT-TrippyFishy,28.989,Dylanbro,2022-03-30
CTF-BT-TroitskyCB,02:37.360,OwYeaW,2016-05-04
CTF-BT-TronLegacy][,02:26.827,~DarK~JoJo~,2024-03-06
CTF-BT-tRy2cApThIs1,24.280,Dylanbro,2013-05-11
CTF-BT-TTFAF-forCrackSpider-v3,01:37.609,Nightwolf`,2022-04-21
CTF-BT-TurbineAssault,06:48.908,artur509,2023-01-02
CTF-BT-TurboCrypt,09.080,~DarK~JoJo~,2025-01-21
CTF-BT-TurboEgypt,15.949,~DarK~JoJo~,2025-04-10
CTF-BT-TurboNexus,10.080,~DarK~JoJo~,2026-03-26
CTF-BT-Tutorial-v1,22.835,Dylanbro,2017-07-02
CTF-BT-Tyler_fix,02:13.994,Nightwolf`,2013-04-21
CTF-BT-Ubiquitous-V2,01:47.208,BlueBalls,2021-12-01
CTF-BT-Ugs,30.001,}ElitE{Bon,2016-09-23
CTF-BT-Ultim,01:40.669,Nightwolf`,2014-05-22
CTF-BT-UM-++TIMEKILLER++-v1,01:13.993,Dylanbro,2013-04-01
CTF-BT-UM-Noob-jump-v2,22.068,Dylanbro,2017-12-11
CTF-BT-UM-Rush-part1,09.308,Dylanbro,2017-12-09
